key,翻译文本（简体中文）,翻译文本（英语）,译文（繁体中文）,译文（阿拉伯语）,译文（德语）,译文（西语）,译文（法语）,译文（印尼语）,译文（意大利语）,译文（日语）,译文（韩语）,译文（马来语）,译文（波兰语）,译文（葡萄牙语）,译文（俄语）,译文（泰语）,译文（土耳其语）,译文（越南语）,译文（印地语）,译文（菲律宾语）
bindadifferentcharacter,想要绑定其他角色？,Want to bind a different character? ,想要綁定其他角色？,هل تريد ربط شخصية مختلفة؟ ,Einen anderen Charakter verknüpfen? ,¿Quieres vincular a otro personaje? ,Voulez-vous associer un personnage différent ? ,Ingin menautkan karakter lain? ,Vuoi collegare un personaggio diverso? ,連携キャラクターを変えますか？,다른 캐릭터와 연동하시겠습니까?,Ingin mengikat watak lain? ,Chcesz powiązać inną postać? ,Deseja vincular um personagem diferente? ,Привязать другого персонажа? ,ต้องการผูกกับตัวละครอื่นหรือไม่ ,Farklı bir karakter bağlamak ister misin? ,Muốn liên kết một nhân vật khác? ,अलग कैरेक्टर बाइंड करना चाहते हैं? ,Gusto mo bang mag-bind ng ibang character? 
viewKdata,王国整体数据查看,View kingdom data,王國整體數據查看,عرض بيانات المملكة,Königreichdaten ansehen,Ver datos del reino,Voir les données du royaume,Tampilkan data kerajaan,Vedi i dati regno,王国全体データ確認,왕국 종합 데이터 보기,Lihat data kerajaan,Zobacz dane królestwa,Ver dados do reino,Показать данные королевства,ดูข้อมูลอาณาจักร,Krallık bilgisini görüntüle,Xem dữ liệu vương quốc,किंगडम डेटा देखें,Tingnan ang kingdom data
viewGdata,王国成员详情数据,View governor data,王國成員詳情數據,عرض بيانات الحاكم,Statthalterdaten ansehen,Ver datos del gobernador,Voir les données du gouverneur,Tampilkan data gubernur,Vedi i dati governatore,王国メンバー詳細データ,왕국 멤버 상세 정보 데이터,Lihat data gabenor,Zobacz dane zarządców,Ver dados do governador,Показать данные правителя,ดูข้อมูลผู้ว่าการ,Vali bilgisini görüntüle,Xem dữ liệu thống đốc,गवर्नर डेटा देखें,Tingnan ang governor data
viewdetailedstats,王国整体数据和成员详情数据查看,View detailed stats of your kingdom and its governors,王國整體數據和成員詳情數據查看,عرض تفصيلي عن حالة مملكتك و الحكام,Sieh dir die Werte deines Königreichs und seiner Statthalter im Detail an.,Ver datos detallados de tu reino y sus gobernadores,Voir les statistiques détaillées de votre royaume et de ses gouverneurs,Tampilkan statistik detail kerajaan dan gubernurnya,Vedi statistiche dettagliate del tuo regno e dei suoi governatori,王国全体データとメンバー詳細データの確認,왕국 전체 데이터 및 멤버 상세 정보 보기,Lihat statistik terperinci tentang kerajaan dan gabenor anda,Zobacz szczegółowe statystyki swojego królestwa i jego zarządców,Ver dados detalhados de seu reino e seus governadores,Статистика вашего королевства и правителей,ดูสถิติทั้งหมดของอาณาจักรของคุณและผู้ว่าการ,Krallığının ve valilerinin ayrıntılı istatistiklerini görüntüle,Xem thống kê chi tiết của vương quốc và thống đốc,अपने किंगडम और उसके गवर्नर्स के विस्तृत आँकड़े देखें,Tingnan ang detalyadong stats ng kingdom mo at mga governor nito
updating,更新中,Updating...,更新中,جارِ التحديث...,Wird aktualisiert …,Actualizando...,Mise à jour...,Memperbarui...,Aggiornamento...,更新中,업데이트 중,Mengemas kini...,Aktualizowanie…,Atualizando...,Обновление...,กำลังอัปเดต...,Güncelleniyor...,Đang cập nhật…,अपडेट हो रहा है...,Ina-update...
toolkit,工具页,Toolkit,工具頁,مجموعة أدوات RoK,Toolkit,Toolkit,Toolkit,Toolkit,Kit,ツールページ,도구 페이지,Set Alat,Niezbędnik,Kit de Ferramentas,Инструменты,เครื่องมือ,Araç Seti,Bộ Công Cụ,टूलकिट,Toolkit
searchID,请搜索角色昵称或角色ID,Search by character username or ID,請搜尋角色暱稱或角色ID,البحث حسب اسم المستخدم أو المعرف,Anhand Charakter-Benutzername oder ID suchen,Buscar por nombre de usuario o ID del personaje,"Rechercher par nom de personnage, d'utilisateur ou ID",Cari berdasarkan nama pengguna atau ID karakter,Cerca con nome personaggio o ID,キャラクターニックネームやキャラクターIDで検索してください,캐릭터 닉네임 또는 캐릭터ID를 검색하세요.,Cari mengikut nama pengguna atau ID watak,Szukaj wg nazwy lub identyfikatora postaci,Buscar por nome de usuário ou ID,Поиск по имени пользователя или ID персонажа,ค้นหาตามชื่อผู้ใช้หรือ ID ตัวละคร,Karakter kullanıcı adı veya kimliğiyle ara,Tìm tên người dùng nhân vật hoặc ID nhân vật,कैरेक्टर उपयोगकर्ता नाम या ID द्वारा खोजें,Maghanap ayon sa username o ID ng character
noResultsFound,暂无搜索结果 请更换搜索词,No results found. Try a different search query.,暫無搜尋結果 請更換搜尋詞,لم يتم العثور على نتائج. جرب استعلام بحث آخر.,Keine Ergebnisse. Wähle eine andere Suchanfrage.,No se encontraron resultados. Intenta con otra consulta.,Aucun résultat trouvé. Réessayer avec une demande différente.,Tidak ada hasil. Coba kueri pencarian lain.,Nessun risultato trovato. Prova una ricerca diversa.,検索結果がありません。キーワードを変えて検索してください,검색 결과가 없습니다. 검색어를 변경하세요.,Tiada hasil ditemukan. Cuba pertanyaan carian yang berbeza.,Brak wyników. Spróbuj użyć innego zapytania.,Nenhum resultado encontrado. Tente uma busca diferente.,Нет результатов. Попробуйте другой запрос.,ไม่พบผลลัพธ์ ลองควีรี่ค้นหาอื่น,Sonuç bulunamadı. Lütfen farklı bir arama sorgusu dene.,"Không tìm thấy kết quả, hãy thử truy vấn tìm kiếm khác.",कोई परिणाम नहीं मिला। भिन्न खोज क्वेरी आज़माएँ।,Walang nahanap na resulta. Sumubok ng ibang salita para sa paghahanap.
noDatatoCompare,暂无对比数据,No data to compare against.,暫無對比數據,لا توجد بيانات للمقارنة.,Keine Daten zum Vergleichen verfügbar.,No hay datos para comparar.,Aucune donnée à comparer,Tidak ada data untuk dibandingkan.,Nessun dato da confrontare.,比較データがありません,현재 비교 데이터 없음,Tiada data untuk dibandingkan.,Brak danych do porównania.,Não há dados com o que comparar.,Нет данных для сравнения.,ไม่มีข้อมูลให้เปรียบเทียบ,Karşılaştırılacak veri yok.,Không có dữ liệu để so sánh.,तुलना करने के लिए कोई डेटा नहीं है।,Walang data na paghahambingan.
failedtoswitch,切换失败，请重试,Failed to switch characters. Please try again.,切換失敗，請重試,فشل التبديل بين الشخصيات. يرجى المحاولة مرة أخرى.,Charakterwechsel fehlgeschlagen. Bitte versuche es erneut.,No se pudo cambiar de personaje. Vuelve a intentarlo.,Échec du changement de personnage. Veuillez réessayer.,Gagal mengubah karakter. Silakan coba lagi.,Il cambio di personaggi non è riuscito. Riprova.,切り替えに失敗しました。もう一度お試しください,"전환 실패, 다시 시도하세요!",Gagal menukar watak. Sila cuba lagi.,Nie udało się zmienić postaci. Spróbuj ponownie.,Falha ao trocar personagens. Tente novamente.,Не удалось поменять персонажа. Повторите попытку.,เปลี่ยนตัวละครล้มเหลว โปรดลองอีกครั้ง,Karakter değişimi başarısız oldu. Lütfen tekrar dene.,"Không thể đổi nhân vật, hãy thử lại.",कैरेक्टर स्विच करना विफल। कृपया पुनः प्रयास करें।,Hindi nagpalit ng character. Subukan ulit.
